A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A340,THURGOOD MARSHALL ACADEMY LOWER SCHOOL 276 W 151ST ST NEW YORK,B4956,Thurgood Marshall Academy Lower School 276 W 151st St New York,1.0000004
A1216,CONCORD HIGH SCHOOL 109 RHINE AVE STATEN ISLAND,B958,Concord High School 109 Rhine Ave Staten Island,1.0000004
A2475,BOLIVAR ROAD ELEMENTARY SCHOOL 6983 BOLIVAR RD CHITTENANGO,B438,Bolivar Road Elementary School 6983 Bolivar Rd Chittenango,1.0000004
A2658,MCVEY ELEMENTARY SCHOOL 2201 DEVON ST EAST MEADOW,B2738,Mcvey Elementary School 2201 Devon St East Meadow,1.0000004
A3031,HICKSVILLE HIGH SCHOOL 180 DIVISION AVE HICKSVILLE,B1887,Hicksville High School 180 Division Ave Hicksville,1.0000004
A3465,BIRCH SCHOOL 2400 CENTRAL PKWY MERRICK,B392,Birch School 2400 Central Pkwy Merrick,1.0000004
A3754,LIBERTY ELEMENTARY SCHOOL 142 LAKE RD VALLEY COTTAGE,B2470,Liberty Elementary School 142 Lake Rd Valley Cottage,1.0000004
A4225,GLEN HEAD ELEMENTARY SCHOOL 7 SCHOOL ST GLEN HEAD,B1618,Glen Head Elementary School 7 School St Glen Head,1.0000004
A4576,VASSAR ROAD ELEMENTARY SCHOOL 174 VASSAR RD POUGHKEEPSIE,B5113,Vassar Road Elementary School 174 Vassar Rd Poughkeepsie,1.0000004
A4727,MAPLE EAST ELEMENTARY SCHOOL 1500 MAPLE RD WILLIAMSVILLE,B2663,Maple East Elementary School 1500 Maple Rd Williamsville,1.0000004
A82,BRONX PREPARATORY CHARTER SCHOOL 3872 3RD AVE BRONX,B542,Bronx Preparatory Charter School 3872 3rd Ave Bronx,1.0000002
A91,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL 36-12 35TH AVE ASTORIA,B3177,Our World Neighborhood Charter School 36-12 35th Ave Astoria,1.0000002
A141,TALENT UNLIMITED HIGH SCHOOL 317 E 67TH ST NEW YORK,B4800,Talent Unlimited High School 317 E 67th St New York,1.0000002
A211,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL 26 BROADWAY NEW YORK,B2549,Lower Manhattan Community Middle School 26 Broadway New York,1.0000002
A469,BRONX COMMUNITY HIGH SCHOOL 1980 LAFAYETTE AVE BRONX,B513,Bronx Community High School 1980 Lafayette Ave Bronx,1.0000002
A488,BRONX LEADERSHIP ACADEMY HIGH SCHOOL 1710 WEBSTER AVE BRONX,B538,Bronx Leadership Academy High School 1710 Webster Ave Bronx,1.0000002
A567,MILTON FEIN SCHOOL 3201 KINGSBRIDGE AVE BRONX,B2804,Milton Fein School 3201 Kingsbridge Ave Bronx,1.0000002
A749,BARD HIGH SCHOOL EARLY COLLEGE BRONX 1619 BOSTON RD BRONX,B273,Bard High School Early College Bronx 1619 Boston Rd Bronx,1.0000002
A1271,STATEN ISLAND TECHNICAL HIGH SCHOOL 485 CLAWSON ST STATEN ISLAND,B4742,Staten Island Technical High School 485 Clawson St Staten Island,1.0000002
A1304,EL PUENTE ACADEMY FOR PEACE AND JUSTICE 250 HOOPER ST BROOKLYN,B1261,El Puente Academy For Peace And Justice 250 Hooper St Brooklyn,1.0000002
A1372,ACADEMY FOR YOUNG WRITERS 1065 ELTON ST BROOKLYN,B49,Academy For Young Writers 1065 Elton St Brooklyn,1.0000002
A1394,BARD HIGH SCHOOL EARLY COLLEGE BROOKLYN 301 VERMONT ST BROOKLYN,B274,Bard High School Early College Brooklyn 301 Vermont St Brooklyn,1.0000002
A1811,EVERGREEN CHARTER SCHOOL 605 PENINSULA BLVD HEMPSTEAD,B1376,Evergreen Charter School 605 Peninsula Blvd Hempstead,1.0000002
A1829,UNIVERSITY PREPARATORY CHARTER SCHOOL FOR YOUNG MEN 1290 LAKE AVE ROCHESTER,B5045,University Preparatory Charter School For Young Men 1290 Lake Ave Rochester,1.0000002
A1837,BUSHWICK ASCEND CHARTER SCHOOL 751 KNICKERBOCKER AVE BROOKLYN,B636,Bushwick Ascend Charter School 751 Knickerbocker Ave Brooklyn,1.0000002
A1877,URBAN DOVE TEAM CHARTER SCHOOL 1256 E 21ST ST BROOKLYN,B5064,Urban Dove Team Charter School 1256 E 21st St Brooklyn,1.0000002
A1880,ICAHN CHARTER SCHOOL 6 1701 FULTON AVE BRONX,B2098,Icahn Charter School 6 1701 Fulton Ave Bronx,1.0000002
A2007,CARDINAL MCCLOSKEY COMMUNITY CHARTER SCHOOL 685 E 182ND ST BRONX,B713,Cardinal Mccloskey Community Charter School 685 E 182nd St Bronx,1.0000002
A2050,AKRON MIDDLE SCHOOL 47 BLOOMINGDALE AVE AKRON,B86,Akron Middle School 47 Bloomingdale Ave Akron,1.0000002
A2162,MALTA AVENUE ELEMENTARY SCHOOL 70 MALTA AVE BALLSTON SPA,B2633,Malta Avenue Elementary School 70 Malta Ave Ballston Spa,1.0000002
A2198,BEEKMANTOWN HIGH SCHOOL 37 EAGLE WAY WEST CHAZY,B326,Beekmantown High School 37 Eagle Way West Chazy,1.0000002
A2248,EAST MIDDLE SCHOOL 70 HILLTOP DR BRENTWOOD,B1204,East Middle School 70 Hilltop Dr Brentwood,1.0000002
A2250,LAUREL PARK ELEMENTARY SCHOOL 48 SWAN LN BRENTWOOD,B2423,Laurel Park Elementary School 48 Swan Ln Brentwood,1.0000002
A2257,SOUTH MIDDLE SCHOOL 785 CANDLEWOOD RD BRENTWOOD,B4563,South Middle School 785 Candlewood Rd Brentwood,1.0000002
A2273,BRIGHTON HIGH SCHOOL 1150 WINTON RD S ROCHESTER,B474,Brighton High School 1150 Winton Rd S Rochester,1.0000002
A2398,CHERRY LANE SCHOOL 475 ROSLYN AVE CARLE PLACE,B848,Cherry Lane School 475 Roslyn Ave Carle Place,1.0000002
