A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A4010,BLIND BROOK-RYE MIDDLE SCHOOL 840 KING ST RYE BROOK,B405,Blind Brook High & Middle School 840 King Street Rye Brook,0.94996905
A2116,BEEKMAN SCHOOL 201 LIME RIDGE RD POUGHQUAG,B324,Beekman Elementary School Lime Ridge Road Poughquag,0.9499678
A2078,ALEXANDRIA CENTRAL HIGH SCHOOL 34 BOLTON AVE ALEXANDRIA BAY,B122,Alexandria Central Elem School 34 Bolton Ave Alexandria Bay,0.94991654
A3237,LA FAYETTE JUNIOR-SENIOR HIGH SCHOOL 3122 ROUTE 11N LAFAYETTE,B2396,Lafayette Central Jr-Sr High 3122 Route 11 La Fayette,0.94986236
A4122,MILTON SCHOOL 12 HEWLETT ST RYE,B2807,Milton School 12 Hewlett Avenue Rye,0.9498526
A1004,QUEENS TECHNICAL HIGH SCHOOL 37-02 47TH AVE LONG ISLAND CITY,B4149,Queens Vocational And Technical High School 3702 47th Ave Long Island City,0.9498177
A4781,SCHOOL 29 47 CROYDON RD YONKERS,B1301,Elementary School 29 47 Croydon Rd Yonkers,0.9498103
A3731,ROUSES POINT ELEMENTARY SCHOOL 80 MAPLE ST ROUSES POINT,B4312,Rouses Point Elem School 80 Maple St Rouses Point,0.949806
A3371,LYNDONVILLE ELEMENTARY SCHOOL PO BOX 540 LYNDONVILLE,B2563,Lyndonville Elementary School 25 Housel Ave Lyndonville,0.94977677
A273,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTICE 122 AMSTERDAM AVE NEW YORK,B1906,"High School For Law, Advocacy And Community Justice 122 Amsterdam Avenue Manhattan",0.94974405
A1687,PS 90 EDNA COHEN SCHOOL 2840 W 12TH ST BROOKLYN,B3833,P.S. 90 Edna Cohen School 2840 W 12th St Brooklyn,0.9497084
A3824,OWEN D YOUNG CENTRAL SCHOOL PO BOX 125 VAN HORNESVILLE,B3185,Owen D Young Central School 2316 Route 80 Van Hornesville,0.94969344
A2669,CENTRE AVENUE ELEMENTARY SCHOOL 55 CENTRE AVE EAST ROCKAWAY,B796,Centre Avenue Elem School 55 Centre Ave East Rockaway,0.94965255
A149,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS 411 PEARL ST NEW YORK,B2898,Murry Bergtraum High School For Business Careers 411 Pearl Street Manhattan,0.94955474
A2152,CATHERINE M MCNAMARA ELEMENTARY SCHOOL 7344 O'BRIEN RD BALDWINSVILLE,B2736,Mcnamara Elementary School Obrien Rd Baldwinsville,0.9494513
A780,URBAN ASSEMBLY SCHOOL FOR MUSIC AND ART 49 FLATBUSH AVE EXT BROOKLYN,B5053,Urban Assembly High School Of Music And Art 49 Flatbush Avenue Extension Brooklyn,0.9493946
A2364,BYRON-BERGEN JUNIOR/SENIOR HIGH SCHOOL 6917 W BERGEN RD BERGEN,B651,Byron Bergen Jr-Sr High School 6917 W Bergen Rd Bergen,0.94932353
A4787,BARACK OBAMA SCHOOL FOR SOCIAL JUSTICE 201 PALISADE AVE YONKERS,B270,Barack Obama School For Social Justice (Formerly Palisade Preparatory School) 190 N Broadway Yonkers,0.9492848
A3250,JOHN T WAUGH ELEMENTARY SCHOOL 100 HIGH ST ANGOLA,B2299,John T Waugh Elem School. 100 High St Angola,0.94925475
A3156,CAROLINE ELEMENTARY SCHOOL 2439 SLATERVILLE RD SLATERVILLE SPRINGS,B727,Caroline Elementary School 2439 Slaterville Rd Slatervle Spg,0.94923633
A2720,ALDEN TERRACE SCHOOL 1835 CENTRAL AVE VALLEY STREAM,B118,Alden Terrace Elem School 1835 N Central Ave Valley Stream,0.94917417
A3544,MORIAH JUNIOR-SENIOR HIGH SCHOOL 39 VIKING LN PORT HENRY,B2842,Moriah Jr-Sr High School 39 Viking Ln Port Henry,0.9491055
A903,SCHOOL OF INTEGRATED LEARNING (THE) 1224 PARK PL BROOKLYN,B4909,The School Of Integrated Learning 1224 Park Place Brooklyn,0.94910103
A77,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS 250 CENTRAL AVE ALBANY,B471,Brighter Choice Charter For Girls 250 Central Ave. Albany,0.9489207
A3436,JEFFERSON ELEMENTARY SCHOOL 75 BAYLEY RD MASSENA,B2252,Jefferson Elementary School Bailey Road Massena,0.948801
A3279,LAWRENCE MIDDLE SCHOOL AT BROADWAY CAMPUS 195 BROADWAY LAWRENCE,B2429,Lawrence Middle School 195 Broadway Lawrence,0.9486885
A4580,WARRENSBURG JUNIOR-SENIOR HIGH SCHOOL 103 SCHROON RIVER RD WARRENSBURG,B5185,Warrensburg Jr-Sr High School 1 James Street Warrensburg,0.94862175
A444,PS 75 SCHOOL OF RESEARCH AND DISCOVERY 984 FAILE ST BRONX,B3825,P.S. 75 School Of Research And Discovery 984 Faile St Bronx,0.948519
A3093,GEORGE JUNIOR REPUBLIC SCHOOL 24 MCDONALD RD FREEVILLE,B4865,The George Jr Republic School 104 Mcdonald Road. Freeville,0.94840795
A394,UNIVERSITY HEIGHTS SECONDARY SCHOOL-BRONX COMMUNITY COLLEGE 701 ST ANNS AVE BRONX,B5040,University Heights Secondary School 701 St. Anns Ave Bronx,0.9483985
A4738,FRANKLIN EARLY CHILDHOOD CENTER 1180 HENRIETTA PL HEWLETT,B1502,Franklin Early Childhood Ctr 1180 Henrietta Pl Hewlett,0.9482959
A2647,EAST IRONDEQUOIT MIDDLE SCHOOL 155 DENSMORE RD ROCHESTER,B2140,Irondequoit High School 260 Cooper Rd Rochester,0.9482769
A3953,JOHN J DALY ELEMENTARY SCHOOL 36 ROCKWOOD AVE PORT WASHINGTON,B2285,John J Daly Elementary School 36 Rockwood Ave Port Washingtn,0.94813204
A2167,BARKER CENTRAL SCHOOL 1628 QUAKER RD BARKER,B277,Barker Jrsr High School 1628 Quaker Rd Barker,0.94805413
A126,SCHOOL FOR GLOBAL LEADERS 145 STANTON ST NEW YORK,B4415,School For Global Leaders 145 Stanton Street Manhattan,0.9479305
A4648,ONONDAGA ROAD ELEMENTARY SCHOOL 703 ONONDAGA RD SYRACUSE,B3127,Onondaga Road Elem School 703 Onondaga Rd S Syracuse,0.9479214
A3224,RJ O INTERMEDIATE SCHOOL 99 OLD DOCK RD KINGS PARK,B4242,Rjo Intermediate School 98 Old Dock Rd Kings Park,0.9478987
A4608,WATKINS GLEN CENTRAL HIGH SCHOOL 301 12TH ST WATKINS GLEN,B5216,Watkins Glen Central High Sch 301 12th Street Watkins Glen,0.94781613
A4772,ELLA FITZGERALD ACADEMY 77 PARK HILL AVE YONKERS,B1320,Ella Fitzgerald Academy (Formerly Scholastic Academy) 77 Park Hill Ave Yonkers,0.94776493
A3437,MADISON ELEMENTARY SCHOOL 25 OWL AVE MASSENA,B2615,Madison Elementary School Owl Street Massena,0.94775933
A53,MILLER HILL SCHOOL 8439 MILLER HILL RD AVERILL PARK,B2800,Miller Hill/Sand Lake Elementary School 8439 Miller Hill Rd Averill Park,0.9476028
A1455,TOWNSEND HARRIS HIGH SCHOOL 149-11 MELBOURNE AVE FLUSHING,B4982,Townsend Harris High School 149-11 Melbourne Ave Queens,0.94757783
A3104,FRANKLIN D ROOSEVELT SENIOR HIGH SCHOOL PO BOX 2032 HYDE PARK,B1500,Franklin D Roosevelt School Po Box 2032 Hyde Park,0.9475348
A562,PS 291 2195 ANDREWS AVE BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.9474282
A2753,BENJAMIN COSOR ELEMENTARY SCHOOL PO BOX 123 FALLSBURG,B348,Benjamin Cosor Elem School Po Box Ah6d 53 Fallsburg,0.94742346
A3295,LEE ROAD SCHOOL 901 LEE RD WANTAGH,B2445,Lee Road Elementary School 901 Lee Road Wantagh,0.9473966
A4613,WAVERLY MIDDLE SCHOOL 1 FREDERICK ST WAVERLY,B5223,Waverly Jr-Sr High School 1 Frederick St Waverly,0.9473635
A1977,ZETA CHARTER SCHOOL - INWOOD 401 W 218TH ST NEW YORK,B5472,Zeta Charter School - Inwood 400 W 219th Street Bronx,0.9472922
A3429,BIRCH LANE ELEMENTARY SCHOOL 41 BIRCH LN MASSAPEQUA PARK,B390,Birch Lane Elementary School Birch Ln Massapequa Pk,0.94727796
A2855,GLOVERSVILLE MIDDLE SCHOOL PO BOX 593 GLOVERSVILLE,B1634,Gloversville Middle School 234 Lincoln Street Gloversville,0.94727
A3864,URIAH HILL SCHOOL 980 PEMART AVE PEEKSKILL,B5071,Uriah Hill Elementary School Pemart Ave Peekskill,0.9472676
A3530,EAST COLDENHAM ELEMENTARY SCHOOL 286  STATE RT 17K NEWBURGH,B1184,East Coldenham Elem School 286 State Route 17k # 290 Newburgh,0.9472015
A495,PS 58 459 E 176TH ST BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.9471618
A1929,COMPASS CHARTER SCHOOL 300 ADELPHI-4TH FL BROOKLYN,B955,Compass Charter School 300 Adelphi St Brooklyn,0.9471211
A1098,PS 161 ARTHUR ASHE SCHOOL 101-33 124TH ST JAMAICA,B3576,P.S. 161 Arthur Ashe School 101-33  124 Street Jamaica,0.94708437
A3225,CHAMBERS SCHOOL 945 MORTON BLVD KINGSTON,B803,Chambers Elementary School 945 Morton Blvd Kingston,0.9470836
A3391,SAINT JOSEPH'S ELEMENTARY SCHOOL 99 ELM ST MALONE,B4661,St Joseph Elementary 111 Elm St Malone,0.94706327
A4239,FLORAL PARK MEMORIAL HIGH SCHOOL 210 LOCUST ST FLORAL PARK,B1439,Floral Park Mem High School 210 Locust St Floral Park,0.94705033
A4813,HAMILTON-FULTON-MONTGOMERY BOCES 2755 STATE HWY 67 JOHNSTOWN,B1764,Hamilton Fulton Montgomery Boces 2755 State Hwy 67 Johnstown,0.94686306
A2883,GREAT NECK SOUTH HIGH SCHOOL 341 LAKEVILLE RD GREAT NECK,B1687,Great Neck North High School 35 Polo Rd Great Neck,0.94684714
A1273,PS 6 CORPORAL ALLAN F KIVLEHAN SCHOOL 555 PAGE AVE STATEN ISLAND,B3816,P.S. 6 Corporal Allan F. Kivlehan School 555 Page Avenue Staten Island,0.9468376
A4127,F E BELLOWS ELEMENTARY SCHOOL 200 CARROLL AVE MAMARONECK,B1391,F. E. Bellows  School 200 Carroll Ave Mamaroneck,0.9468361
A2560,CORNING-PAINTED POST MIDDLE SCHOOL 35 VICTORY HWY PAINTED POST,B991,Corning-Painted Post Middle School 35 Victoria Highway Painted Post,0.94682884
A4072,RIVERSIDE SCHOOL 110 RIVERSIDE DR ROCKVILLE CENTRE,B4239,Riverside Elementary School 110 Riverside Dr Rockville Ctr,0.94678354
A297,BILINGUAL BICULTURAL SCHOOL (THE) 219 E 109TH ST NEW YORK,B4832,The Bilingual Bicultural School 219 East 109 Street Manhattan,0.9467734
A3261,JOHN A SCIOLE ELEMENTARY SCHOOL 86 ALYS DR E DEPEW,B2265,John A Sciole Elem School 86 Alys Dr E Depew,0.9467707
A3193,WARREN STREET SCHOOL 110 WARREN ST JOHNSTOWN,B5183,Warren Street Elementary Sch 110 Warren St Johnstown,0.94675374
A3618,NEW PALTZ SENIOR HIGH SCHOOL 196 MAIN ST NEW PALTZ,B2963,New Paltz Middle School 196 Main Street New Paltz,0.94662535
A3374,LYONS MIDDLE SCHOOL 10 CLYDE RD LYONS,B2567,Lyons Elementary School 98 William St Lyons,0.9466169
A2781,WASHINGTON STREET SCHOOL 760 WASHINGTON ST FRANKLIN SQUARE,B5200,Washington Street Elem School 760 Washington St Franklin Square,0.9465495
A2797,ROBERT H JACKSON ELEMENTARY SCHOOL 135 IVORY ST FREWSBURG,B4253,Robert H Jackson Elementary Ivory St Frewsburg,0.94650817
A2996,JAMES A FARLEY ELEMENTARY SCHOOL 140 RT 210 STONY POINT,B1410,Farley Elementary School 140 Central Dr Stony Point,0.9464979
A4590,ROUND HILL ELEMENTARY SCHOOL 1314 RT 208 WASHINGTONVILLE,B4311,Round Hill Elementary School 205 South St Washingtonvle,0.94646525
A1203,YOUNG WOMENS LEADERSHIP SCHOOL - ASTORIA 23-15 NEWTOWN AVE LONG ISLAND CITY,B5467,"Young Women'S Leadership School, Astoria 23-15 Newtown Avenue Queens",0.9464179
